Unnamed: 0;Clothing.ID;Age;Title;Review.Text;Rating;Recommended.IND;Positive.Feedback.Count;Division.Name;Department.Name;Class.Name;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Review.Sentiment;Title.Sentiment;Review.Sentiment.Numeric;Title.Sentiment.Numeric
177;895;43;Perfect casual sweater;"Love the fit of this sweater! it almost fits like a sweatshirt and definitely not as long as on the model. it hits me just below the hips( for ref. im 5-3""). im considering getting all the other colors because its so cute and comfortable. could be dressed up or down. runs true to size-im always a small and this fits perfectly roomy.";5.0;1;9;General;Tops;Fine gauge;;;;;;;;;positive;positive;1;1
183;895;50;Completes so many outfits!;"I like this sweater so much i just bought it in a second color! the pleats make the sweater conform to my shape just enough to be flattering. i wore it over three different dresses this week that might have felt too bare for work or cooler weather. i live in a hot climate so this is the right weight for our cooler months. the metallic threads give it a little bit of flair and the grey color goes with everything. i'm 5'7"" size 10-12 and the large fit just right.";5.0;1;5;General;Tops;Fine gauge;;;;;;;;;positive;positive;1;1
188;596;41;Modern comfort;This easel caftan is simply amazing! the silhouette fits all sizes and shapes while providing a unique dress.;5.0;1;2;General;Trend;Trend;;;;;;;;;positive;positive;1;1
191;895;47;Pretty;I love the fabric and color (i bought the green one). my only complaint is that the base is wider than the picture shows. it looks more fitted on the model. it is more of an a shape (significantly wider at the hips.);4.0;1;0;General Petite;Tops;Fine gauge;;;;;;;;;negative;positive;-1;1
193;895;46;5;1;0.0;General Petite;Tops;Fine gauge;;;;;;;;;;;negative;negative;-1;-1
202;895;36;5;1;0.0;General;Tops;Fine gauge;;;;;;;;;;;negative;negative;-1;-1
204;895;63;Tunic doesn't look like i am covering up;Nice weight sweater that allows one to wear leggings or ultra skinny jeans without looking like i'm pregnant (not that there's anything wrong with that) very feminine and light weight enough to wear with a cami underneath and a pretty scarf.;5.0;1;1;General;Tops;Fine gauge;;;;;;;;;positive;negative;1;-1
210;862;44;Love the fabric of this shirt even though it was thinner than i expected. it is soft to the skin and flattering. however i returned it because it is made for women with long torso and shorter shoulders.;1;0.0;1;General;Tops;Knits;;;;;;;;;;negative;negative;-1;-1
220;828;38;This is my new favorite top! looks and fits as described.;5;1.0;1;General;Tops;Blouses;;;;;;;;;;negative;negative;-1;-1
222;1020;52;Perfect skirt;Love all the colors in this skirt and that i can wear it with a tee and flat sandals or a black jacket and heels. easy piece to wear many ways. great quality too.;5.0;1;1;General Petite;Bottoms;Skirts;;;;;;;;;positive;positive;1;1
238;1066;42;Not what i expected;I have a similar pair of capris from retailer and when i ordered these i thought they were the same in a different color. these are less flattering and i may not keep them.;2.0;0;0;General;Bottoms;Pants;;;;;;;;;positive;negative;1;-1
241;1066;55;Perfect for mediterenian summer;Ordered these online and they fit perfectly. i was looking for lightweight pants for hot and humid summer days and this pair is exactly what i needed. the striped pattern is cute and adds some color.;4.0;1;0;General;Bottoms;Pants;;;;;;;;;positive;positive;1;1
249;1030;28;5;1;0.0;General;Bottoms;Jeans;;;;;;;;;;;negative;negative;-1;-1
251;1026;48;Perfect;I love these pants. i have worn them a number of times already this season. i am 5' so i did have to have them hemmed. i lost the bottom button in the process but there are still 3 or 4 on the pants so i don't think they look odd. i also wear very high boots with these pants so that helps. a crisp white blouse and black leather jacket and i felt like a million bucks!;5.0;1;1;General;Bottoms;Jeans;;;;;;;;;positive;positive;1;1
253;1066;29;Super cute pants;These cropped pants are very light weight and super cute. they seem to run just a bit small (i sized up one size from my usual) and don't seem to stretch so a size larger than you generally take may be necessary. the thin pin stripe design is very light in color so they are quite versatile.;5.0;1;1;General;Bottoms;Pants;;;;;;;;;positive;positive;1;1
255;840;28;Size down! i love this item. it goes perfect with leggings but if you are typically a small you would need to order an extra small and so forth. hopefully once i wash this it will shrink some.;5;1.0;0;General;Tops;Blouses;;;;;;;;;;negative;negative;-1;-1
260;824;37;Love this top;From the picture i wasn't sure how it would fit. got in the mail and i love it. fits snug when you first put it on and get looser as you wear it. definitely should of gotten a large.;5.0;1;1;General;Tops;Blouses;;;;;;;;;positive;positive;1;1
262;840;50;Adorable and flattering;This top is very cute. got it in the lighter color. the fit is great and it will go with many things. if size medium were not out of stock in the blue color i would have purchased that one also.;5.0;1;0;General;Tops;Blouses;;;;;;;;;positive;positive;1;1
266;878;63;4;1;0.0;General;Tops;Knits;;;;;;;;;;;negative;negative;-1;-1
268;984;28;Nice quality but too short for my tall frame;"Love the look and quality of this jacket. i&amp;#39;d say it fits true to size but it is way too short for me (i&amp;#39;m just under 6&amp;#39; tall). wish these came in tall sizes!";4.0;1;0;General Petite;Jackets;Jackets;;;;;;;;;positive;positive;1;1
270;1104;29;Absolutely love this dress! fits true to size and makes anyone look fabulous;5;1.0;0;General;Dresses;Dresses;;;;;;;;;;negative;negative;-1;-1
271;868;61;Nice color;I liked the color of this top but i didn't really like the ruffled stitching around the middle. it looks like someone just tacked on the bottom half. i bought this for my daughter and she likes it. i think it is comfortable and a good top to knock around in.;3.0;1;0;General;Tops;Knits;;;;;;;;;positive;positive;1;1
277;868;55;Pretty and feminine;Pretty top. love the color and the large ruffle. makes it great for layering or with a pretty necklace.;5.0;1;0;General;Tops;Knits;;;;;;;;;positive;positive;1;1
288;984;69;I read the reviews and because this jacket is pilcro i took a chance. i was thrilled when i rceived this jacket. darker color of denim with weathered edges. i absolutely love it. don't let it get away. great jean jackets are hard to come by.;5;1.0;0;General Petite;Jackets;Jackets;;;;;;;;;;negative;negative;-1;-1
291;984;36;Perfect;The cut is brilliant-the wash is subtle-the weight of the denim is sturdy but not stuff-and the stretch is just right. love it. the perfect staple. a scarf in the fall and rolled sleeves in the spring.;5.0;1;2;General Petite;Jackets;Jackets;;;;;;;;;positive;positive;1;1
292;984;71;"Love it; the bit of stretch in the denim makes it less stiff than traditional denim.";5;1.0;0;General Petite;Jackets;Jackets;;;;;;;;;;negative;negative;-1;-1
293;1024;65;Super nice;I love these. i'm between a 29 and 30 and as the 30s were sold out i had to go with the 29s. they fit well. as expected. very nice fabric. good design. have to wear a short shirt or one tucked in. fabric has a bit of stretch which is also nice.;5.0;1;0;General;Bottoms;Jeans;;;;;;;;;positive;positive;1;1
297;1024;40;Cute versatile culottes;I love these culottes and i think they will be everywhere this coming spring / summer. the high waist is perfect and looks great with shorter shirts or tucked-in. the denim is high quality and a nice medium dark color.;5.0;1;0;General;Bottoms;Jeans;;;;;;;;;positive;positive;1;1
298;984;47;My new favorite denim jacket;I'm glad i listened to the other reviewers...i ordered a large instead of my usual medium. it's roomy enough for a sweater underneath. i love the denim! it's very soft and has some stretch. my other denim jackets are stiff even after years of washing. i also love the darker denim.;5.0;1;0;General Petite;Jackets;Jackets;;;;;;;;;positive;positive;1;1
299;1104;39;5;1;0.0;General;Dresses;Dresses;;;;;;;;;;;negative;negative;-1;-1
300;984;34;Favorite jean jacket;"I'm 5'4"" 125 lbs ordered small. fits perfect. super soft denim. love the color love the worn in feel";5.0;1;0;General Petite;Jackets;Jackets;;;;;;;;;positive;positive;1;1
303;895;36;I have received so many compliments. it's my favorite;5;1.0;0;General;Tops;Fine gauge;;;;;;;;;;negative;negative;-1;-1
305;1131;36;Stylish jacket;I love the pattern on this jacket and enjoy the bell shape. a fun jacket to through on and add quick style to a skinny pants.;3.0;1;2;General;Jackets;Outerwear;;;;;;;;;positive;positive;1;1
309;984;35;Too distressed;First i ordered a m. i'm normally a 8-10. the m was too small so i returned and ordered a lg. the lg fits great but there is a huge area of distressing on the shoulder that will turn into a hole. i love this jacket but cannot keep it in its condition. hopefully i will make it to the store soon (there are none w/in an hour of me) and look before i buy.;4.0;1;2;General Petite;Jackets;Jackets;;;;;;;;;positive;positive;1;1
313;844;34;Very unflattering;True to size on the neckline and arms but extremely large and puffy in the torso. very unflattering cut!;3.0;0;0;General Petite;Tops;Blouses;;;;;;;;;neutral;negative;0;-1
317;836;59;Love this blouse;"I really like this blouse a lot. very very easy to wear!! i wore with pencil skirt to work and with skort as shown similar on model with sandals on weekend. very flattering and great blue color!!! very happy with this purchase. highly recommend. i am 5'6"" short torso and my usual 6 worked.";5.0;1;0;General;Tops;Blouses;;;;;;;;;positive;positive;1;1
318;844;53;Lovely printed blouse;I just purchased this beautiful printed blouse in the pink color and love it! i almost always wear a size small at retailer (34d-27-35) and the fit and length are both perfect on me. if you are smaller chested you can easily go down a size. i absolutely had to have this whe i first saw it at the store and noticed how popular it was as i had to order it due to it selling out like hot cakes there. what i like about it is the texture and the ruffles at the front plus the length of the sleeves stop ri;5.0;1;4;General Petite;Tops;Blouses;;;;;;;;;positive;positive;1;1
324;895;47;5;1;0.0;General;Tops;Fine gauge;;;;;;;;;;;negative;negative;-1;-1
328;836;23;Cuter is person;Nice fabric and cute design. a little low cut.;4.0;1;0;General;Tops;Blouses;;;;;;;;;positive;positive;1;1
330;836;51;Airy and flattering;The blue motif is a gorgeous indigo with an interesting pattern. a short tunic that drapes nicely and is flattering. very happy with this purchase. i plan to buy a 2nd for my mom to keep her cool and stylish.;5.0;1;0;General;Tops;Blouses;;;;;;;;;positive;positive;1;1
336;895;66;Cutest vest;My daughter and i both purchased this vest at an retailer store. this vest is so flattering on and is so much cuter in person than in the online picture. it is chic and stylish and will definitely be a staple for fall and winter.;5.0;1;6;General;Tops;Fine gauge;;;;;;;;;positive;positive;1;1
341;844;40;Beautiful shirt;Ordered the shirt online. beautiful print and good quality material. runs very large - size down 1 may be 2 sizes as the material on the body is very wide. i will be exchanging it in the store.;4.0;1;0;General Petite;Tops;Blouses;;;;;;;;;positive;positive;1;1
342;831;40;Beautiful fabric;This too is so beautiful in person. there is gold dots all over the blouse that are not overwhelming. i love this top with business attire and denim. fits tts.;5.0;1;0;General;Tops;Blouses;;;;;;;;;positive;positive;1;1
343;836;32;5;1;0.0;General;Tops;Blouses;;;;;;;;;;;negative;negative;-1;-1
345;844;44;Gorgeous in every way except its length and how it hangs at the bottom. i prefer a shirt i can wear tucked in or out. this one will work well tucked in but not out so i am returning disappointed it was so well done in other particulars.;3;0.0;2;General Petite;Tops;Blouses;;;;;;;;;;negative;negative;-1;-1
346;895;24;5;1;0.0;General;Tops;Fine gauge;;;;;;;;;;;negative;negative;-1;-1
348;907;30;Great piece;I love how soft the sweater materials is and that the built in layer piece falls so nicely. i purchased a small in black and have already worn it with jeans and heels for a dinner and with cropped work pants for the office. the bottom piece does wrinkle a lot but you can easily smooth it out. really quality materials and on sale this is quite a steal!;5.0;1;1;General;Tops;Fine gauge;;;;;;;;;positive;positive;1;1
358;907;51;Worth the sale price;Tts. i'm wearing a small. the black goes with so many of my charlie print pants. washed nicely. layers flat to dry. had to iron the shell underneath. great for casual office.;5.0;1;2;General;Tops;Fine gauge;;;;;;;;;positive;negative;1;-1
359;862;34;Almost but not quite;This top is good quality and cute. it runs large- i'm usually a medium and needed a small. the reason i will be returning it is because it flares out at the bottom on the black which is very unflattering on. it makes me look wide in the waist or like i'm wearing a maternity top. unfortunate because i really liked everything else about it.;3.0;0;0;General Petite;Tops;Knits;;;;;;;;;neutral;negative;0;-1
366;862;38;Comfy and cute;Very comfy and light. can be casual with jeans and boots or dress it up with a nice necklace and pencil skirt.;4.0;1;0;General;Tops;Knits;;;;;;;;;positive;positive;1;1
370;895;39;Positively agree;All the rave reviews are true!  this vest is plush and funky and i love wearing it. i'm having fun figuring out different outfits to wear with this. this is a great three season layering piece and i'm thrilled i was able to get it on sale.  my only regret was the lack of a petite selection.;5.0;1;0;General Petite;Tops;Fine gauge;;;;;;;;;positive;negative;1;-1
371;836;25;I love this top. i got it on sale and am so glad that i did. it is a short too but still super flattering. it isn't too boxy on me.;5;1.0;0;General;Tops;Blouses;;;;;;;;;;negative;negative;-1;-1
372;895;64;Love the print & style;I tried this on the other day at the local store in a size xs/s. although it's wool i didn't notice that is was itchy & usually wool bothers me. i am of small build but i did like the long & oversized look. i admit i am drawn to the print anyways. i noticed the right armhole was larger than the left so i tried on another xs/s - it was the same. probably the armholes will be smaller in the petite sizes. i decided to make other purchases but will order the petite xs/s in a few wks since the invent;5.0;1;4;General Petite;Tops;Fine gauge;;;;;;;;;positive;positive;1;1
379;862;35;I would've looked right over this online but i saw it in store and had to try on. the navy and the white were both cute but i tried the navy. i'm usually a m but went with the s b/c it looked better fitted. this shirt has a very vintage feel to it and is slinky and comfy. i can't wait to wear. would look great with white jeans!;5;1.0;10;General;Tops;Knits;;;;;;;;;;negative;negative;-1;-1
380;1089;67;Elegant and eye-catching;This elegant white lace dress attracted compliments everywhere i wore it. it is classic with just the right amount of quirkiness . i like everything about it!;5.0;1;0;General Petite;Dresses;Dresses;;;;;;;;;positive;negative;1;-1
382;1104;59;Poor quality;Disappointed in the quality of the dress. love the style and especially the colors. the fabric of the body of the dress is very very thin and just poorly made. the top bodice is more substantial. not worth the price tag of $148.00. dress does run short.;3.0;0;13;General;Dresses;Dresses;;;;;;;;;positive;negative;1;-1
385;936;29;"Terrific sweater with great detail; runs large";I ordered the sweater in a medium but it was too large - so reordered it in the small and it fits perfectly. love the length- it hits mid hip. it is more of an a-line than straight as show in the picture. the detail is fun and the sweater is well made. highly recommend it- i have received lots of compliments on this sweater.;5.0;1;0;General;Tops;Sweaters;;;;;;;;;positive;positive;1;1
401;1104;35;5;1;0.0;General;Dresses;Dresses;;;;;;;;;;;negative;negative;-1;-1
422;872;65;Great feature...perfect lacing...do not need to worry that it is too low since there is material behind the bottom of the lacing. like 3/4 length sleeve. gives top the right proportion.;4;1.0;0;General;Tops;Knits;;;;;;;;;;negative;negative;-1;-1
426;1083;50;5;1;0.0;General;Dresses;Dresses;;;;;;;;;;;negative;negative;-1;-1
429;1089;38;I'm 5'1 and 110 lbs.  i ordered this in a xsp and i could barely zip it up.  and when i did i couldn't breathe. i tried again and ordered a sp and it's perfect! now i just need somewhere to wear it.;5;1.0;0;General Petite;Dresses;Dresses;;;;;;;;;;negative;negative;-1;-1
438;964;58;Funky and classy;Great looking jacket with attitude. the color is more like a faded black or deep charcoal grey. i'm usually a large petite but this is snug in the chest. luckily it's a knit so i can make it work by zipping it partway and leaving the top half open.;5.0;1;4;General;Jackets;Jackets;;;;;;;;;positive;positive;1;1
440;964;40;Love. this. jacket.;I live in los angeles and this is the perfect beginning of fall jacket! i've worn it with dresses and with jeans. definitely has enough extra room to slip a hoodie or small seater on underneath when it gets colder. it's soft and stylish. the only downside is that the pockets aren't really deep enough to put anything in.;5.0;1;5;General;Jackets;Jackets;;;;;;;;;positive;positive;1;1
442;872;60;Cute top;I really like this top. it's super cute - perfect for a football game or fairly casual event. the material is ribbed and is thick enough that you can't see through. i purchased this top in red and initially in petite but ended up returning it for the regular size. i love this top!;4.0;1;1;General;Tops;Knits;;;;;;;;;positive;positive;1;1
444;829;48;Undecided;Feminine and lovely flutters indeed. i am on the fence. i ordered in a petite - had to size down - and something about bust and arm holes not completely right. given the light and airiness of this tank it does not seem right to have to wear a camisole underneath which is what it would need for work wear.;4.0;1;6;General;Tops;Blouses;;;;;;;;;positive;positive;1;1
449;872;51;Vibrant red color;I got this shirt in red and black. both colors vibrant and material of shirt is nice cotton blend. will get lots of use from both shirts.;5.0;1;1;General;Tops;Knits;;;;;;;;;positive;positive;1;1
450;872;48;Love;This is the most flattering shirt--love the fit and color!;5.0;1;0;General;Tops;Knits;;;;;;;;;positive;positive;1;1
456;234;33;5;1;0.0;Initmates;Intimate;Swim;;;;;;;;;;;negative;negative;-1;-1
457;149;33;The most comfortable pants ever;"I have these pants in navy and they're amazing! i cuff the hem in half and they look like joggers. they're ridiculously comfortable and tts but are not very thick so i'm pretty sure ivory would be see through; especially if you wear them during practice.";4.0;1;0;Initmates;Intimate;Lounge;;;;;;;;;positive;positive;1;1
460;872;71;"Great shirt. the neckline is super flattering. the fabric has some weight to it. right now i am in a ""fat stage""...and it still looked good. it will look even better without the midriff bulge! i bought the shirt in black. i'm thinking of ordering it in red...it's that good.";5;1.0;0;General;Tops;Knits;;;;;;;;;;negative;negative;-1;-1
